"Iniciales","FechaIngreso","IdImportacion","producto","Solicitado"
"S003","13/06/2025 17:53:02","1610","DN GRD YUCATEKAS 1X5 FARDO","0 | 5"
"S003","13/06/2025 17:53:29","1609","DN GRD YUCA 1X5 FARDO","0 | 5"
"S003","13/06/2025 17:53:51","1622","DN GRD PACHANGA MIX 1X5 FARDO","0 | 6"
"S003","13/06/2025 17:54:10","1600","DN GRD MAIZ CHINO 1X5 FARDO","0 | 5"
"S003","13/06/2025 17:54:51","1624","DN GRD TOCINITO 1X5 FARDO","0 | 3"
"S003","13/06/2025 17:56:00","1618","DN GRD CENTAVITO CON QUESO 1X5 FARDO","0 | 5"
"S003","13/06/2025 17:56:48","2704","BEB HI ENERGY 12X500ML FARDO","2 | 0"
"S003","13/06/2025 17:57:07","2787","SUERO ELEC. FRESA 12X625ML CAJA","2 | 0"
"S003","13/06/2025 17:57:19","2788","SUERO ELEC. MANZANA 12X625ML CAJA","3 | 0"
"S003","13/06/2025 17:57:29","3378","SUERO ELEC. COCO 12X625ML CAJA","5 | 0"
"S003","13/06/2025 17:57:37","3380","SUERO ELEC. FRESA KIWI 12X625ML CAJA","4 | 0"
"S003","13/06/2025 17:57:49","4944","SUERO ELEC. MARACUYA 12X625ML CAJA","3 | 0"
"S003","13/06/2025 17:57:59","6067","SUERO ELEC/PEDIA UVA 12X500ML CAJA","3 | 0"
"S003","13/06/2025 17:58:09","7224","SUERO ELEC ZERO. MORA AZUL 12X625ML CAJA","3 | 0"
"S003","13/06/2025 17:58:57","3839","BEB BIG COLA 6X1,800ML FARDO","3 | 0"
"S003","13/06/2025 18:02:55","2013","BEB AMP ENERGY 12X600ML FARDO","2 | 0"
"S003","13/06/2025 18:21:26","5346","ACEITE ORISOL 12X1,725ML CAJA","1 | 0"
"S003","13/06/2025 18:22:44","1510","SANDWICH SPREAD DEL CHEF BOLSA 28X180GRS CAJA","1 | 0"
"S003","13/06/2025 18:22:57","6005","SANDWICH SPREAD DEL CHEF BOLSA 8X1.50KG CAJA","0 | 2"
"S003","13/06/2025 18:23:05","6670","SANDWICH SPREAD DEL CHEF BOLSA 15X350GRS CAJA","1 | 0"
"S003","13/06/2025 18:41:38","3174","DEL MONTE CHAMPIÑONES 24X184GRS FARDO","0 | 8"
"S003","13/06/2025 19:41:21","6457","YM ZAMBO PICOSITAS 1X24 FARDO","0 | 12"
"S003","13/06/2025 19:41:41","6456","YM ZAMBO CHICHARRON 1X24 FARDO","0 | 10"
"S003","13/06/2025 19:42:13","6460","YM YUM MIX TROPICAL 1X12 FARDO","0 | 4"
"S003","13/06/2025 19:42:47","6463","YM ZIBAS CLASICAS 1X24 FARDO","0 | 10"
"S003","13/06/2025 19:44:15","264","SARDINA VERDEMAR PICANTE 48X160GRS FARDO","1 | 0"
"S003","13/06/2025 19:44:21","279","SARDINA VERDEMAR TOMATE 48X160GRS FARDO","1 | 0"
"S003","13/06/2025 20:11:25","2640","RAIDOLITOS VERDE 60X12U CAJA","0 | 10"
"S003","13/06/2025 20:11:33","2639","RAIDOLITOS LAVANDA 60X12U CAJA","0 | 12"
"S003","13/06/2025 20:11:43","712","RAID MAX 12X400ML CAJA","1 | 0"
"S003","13/06/2025 20:15:05","5329","CAFE MUSUN DISPEN 15X40X1.8GRS CAJA","0 | 8"
"S003","13/06/2025 20:24:05","58","LEJIA MAXISOL 6X12X210ML FARDO","10 | "
"S003","13/06/2025 20:24:30","1145","BEB ILC POWERADE AZUL 12X300ML FARDO","5 | 0"
"S003","13/06/2025 20:24:56","1146","BEB ILC POWERADE FRUTAS 12X300ML FARDO","3 | 0"
"S003","13/06/2025 20:25:28","6974","BEB PEPSI 12X355ML FARDO","2 | 0"
"S003","13/06/2025 20:26:15","1314","BEB ILC COCA COLA LATA 24X12.ONZ FARDO","3 | 0"
"S003","13/06/2025 20:26:38","1080","BEB ILC FANTA NARANJA 6X2.5LTS FARDO","2 | 0"
"S003","13/06/2025 20:27:21","1526","BEB ILC VALLE MANDARINA 6X2.5LTS FARDO","2 | 0"
"S003","13/06/2025 20:27:51","1616","BEB ILC VALLE CITRUS 6X2.5LTS FARDO","2 | 0"
"S003","13/06/2025 20:28:11","1447","BEB ILC VALLE MANDARINA 12X500ML FARDO","4 | 0"
"S003","13/06/2025 20:28:45","5355","BEB ILC VALLE NECT/MANGO 24X330ML FARDO","1 | 0"
"S003","13/06/2025 20:28:58","5353","BEB ILC VALLE NECT/MANZANA 24X330ML FARDO","1 | 0"
"S003","13/06/2025 20:35:03","138","ACEITE ORISOL BOLSA 20X700MLCAJA","1 | 0"
"S003","13/06/2025 20:35:43","2896","ACEITE ORISOL CON OLIVA 18X700ML CAJA","0 | 12"
"S003","13/06/2025 20:40:04","6564","ACEITE SANTA FE 12X750ML CAJA","0 | 12"
"S003","13/06/2025 22:05:24","1987","ARROZ EMP/PRECOCI SAN PEDRO 100LBS QUINTAL","1 | 0"
"S003","13/06/2025 23:37:27","6838","ACEITE RICO 20X700ML CAJA","1 | 0"
"S003","13/06/2025 23:38:01","4292","CAFE RIKO FRASCO DESCAFEINADO 12X100GRS FARDO","0 | 2"
"S003","13/06/2025 23:39:00","1950","BEB ILC CERV/PILSE VIDR/PEQ 24X11.ONZ CAJA","5 | 0"
"S003","13/06/2025 23:40:03","1949","BEB ILC CERV/GOLD VIDRIO 24X9.6.ONZ CAJA","3 | 0"
"S003","13/06/2025 23:42:17","442","CAFE RIKO DISPEN 24X50X2GR FARDO","1 | 0"
"S003","13/06/2025 23:42:35","5982","CAFE RIKO DISPEN 24X24X2GR FARDO","1 | 0"
"S003","13/06/2025 23:42:58","458","CAFE COSCAFE DISPEN 30X40X2GRS FARDO","1 | 0"
"S003","14/06/2025 13:02:38","1123","BARRA SPEED STICK FRESH 12X60GRS CAJA","0 | 6"
"S003","14/06/2025 13:03:11","2261","LIPTON FRAMBUESA 12X500ML FARDO","2 | 0"
"S003","14/06/2025 13:03:18","2263","LIPTON DURAZNO 12X500ML FARDO","2 | 0"
"S003","14/06/2025 13:03:31","5853","LIPTON DURAZNO 6X2.5LTS FARDO","1 | 0"
"S003","14/06/2025 13:03:49","6502","GIRASOL INTERCAMPO 24X400GRS CAJA","0 | 12"
