"Iniciales","FechaIngreso","IdImportacion","producto","Solicitado"
"S001","18/06/2025 20:40:51","6032","GALLETA LIDO SALPORINA DE ARROZ 16X6U CAJA","2 | 2"
"S001","18/06/2025 20:40:58","6227","GALLETA MARGARITA LIDO 16X6U CAJA","4 | 0"
"S001","18/06/2025 20:41:36","6559","GALLETA CHOCO WOW CHISPAS 16X216GR CAJA","1 | 0"
"S001","18/06/2025 20:41:50","6655","GALLETA EKON CREAMS VAINILLA 48X1U PAQUETE","0 | 10"
"S001","18/06/2025 20:41:54","6916","GALLETA CUETARA CAMPECHANAS 16X12U CAJA","1 | 0"
"S001","18/06/2025 20:42:02","6917","GALLETA CHOCORISA VAINI/CHOCO 16X12U CAJA","1 | 0"
"S001","18/06/2025 20:42:07","6919","GALLETA CHOCORISA CHOCO/VAINI 16X12U CAJA","1 | 0"
"S001","18/06/2025 20:42:15","6922","GALLETA CLUB CRACKERS 24X6U CAJA","1 | 0"
"S001","18/06/2025 20:42:23","7042","GALLETA POZUELO CLUB EXTRA INTEGRAL 24X225GR CAJA","0 | 12"
"S001","18/06/2025 20:42:39","1740","KELLOGGS ZUCARITA 28X260GRS FARDO","0 | 10"
"S001","18/06/2025 20:42:52","2007","KELLOGGS KOMPLETE PASAS 24X420GRS FARDO","0 | 6"
"S001","18/06/2025 20:43:08","4182","GRAN DIA CORN FLAKES 10X580GRS CAJA","0 | 10"
"S001","18/06/2025 20:43:13","4264","GRAN DIA CORN FLAKES 24X180GRS CAJA","0 | 10"
"S001","18/06/2025 20:44:12","6488","GALLETA PIAZZA JIRAFA 1X24U CAJA","0 | 10"
"S001","18/06/2025 20:44:35","5375","CAFE CLASICO DISPEN 15X40X1.8GRS CAJA","1 | 0"
"S001","18/06/2025 20:44:48","4471","CAFE CLASICO DISPEN 30X20U CAJA","1 | 0"
"S001","18/06/2025 21:14:40","4301","LECHE PINITO UHT 12X1000ML CAJA","1 | 0"
"S001","18/06/2025 21:21:40","1864","ROLL ON REXONA V8 6X30ML CAJA","0 | 18"
"S001","18/06/2025 21:21:47","1865","ROLL ON REXONA BAMBOO 6X30ML CAJA","0 | 18"
"S001","18/06/2025 21:21:56","2397","BARRA REXONA V8 12X45GRS CAJA","0 | 10"
"S001","18/06/2025 21:22:02","2398","BARRA REXONA SPORTFAN 12X50GRS CAJA","0 | 10"
"S001","18/06/2025 21:23:32","1165","REVIVA FIJAD MUSK 36X9ONZ CAJA","0 | 6"
"S001","18/06/2025 21:23:36","1166","REVIVA FIJAD LISO EXTREMO 36X9ONZ CAJA","0 | 6"
"S001","18/06/2025 21:23:40","1167","REVIVA FIJAD RIZO 36X9ONZ CAJA","0 | 6"
"S001","18/06/2025 21:23:44","1168","REVIVA FIJAD ORIGINAL 36X9ONZ CAJA","0 | 6"
"S001","18/06/2025 21:23:48","1169","REVIVA FIJAD TROPICAL 36X9ONZ CAJA","0 | 6"
"S001","18/06/2025 21:23:58","7333","REVIVA FIJAD MENTA 36X9ONZ CAJA","0 | 6"
"S001","18/06/2025 21:24:03","6237","REVIVA FIJAD COCO 36X9ONZ CAJA","0 | 6"
"S001","18/06/2025 21:24:19","3889","HIGIENICO SCOTT SUAVITELA 12X4U FARDO","5 | 0"
"S001","18/06/2025 21:24:24","4039","HIGIENICO SCOTT 1000 HOJAS 12X4U FARDO","2 | 0"
"S001","18/06/2025 21:24:35","4368","HIGIENICO SCOTT CUIDADO COMPLETO 4X12U FARDO","1 | 0"
"S001","18/06/2025 21:24:39","6068","HIGIENICO SCOTT RINDEMAX 2X18U FARDO","1 | 0"
"S001","18/06/2025 21:24:43","6262","HIGIENICO SCOTT 2EN1 AZUL 12X4U FARDO","1 | 0"
"S001","18/06/2025 21:24:49","7008","HIGIENICO SCOTT CUIDADO COMPLETO 2X32U FARDO","1 | 0"
"S001","18/06/2025 21:24:59","836","HIGIENICO SCOTT RINDEMAX 12X4U FARDO","1 | 0"
"S001","18/06/2025 21:29:43","102","HIGIENICO ENCANTO CLASSICO 12X4U FARDO","5 | 0"
"S001","18/06/2025 21:29:48","2588","HIGIENICO ENCANTO 1000 HOJAS 8X6U FARDO","1 | 0"
"S001","18/06/2025 21:29:53","4204","HIGIENICO ENCANTO GRD 4X12U FARDO","1 | 0"
